annotator_id,session_id,dataset,method,pair_id,condition,n_rows_shown,true_label,predicted_label,correct,confidence,notes,timestamp
TK,20260530_235739,census,gaussian_copula,0,C1,20,SYNTHETIC,SYNTHETIC,True,50,,2026-05-30T23:59:59.600996
TK,20260530_235739,census,gaussian_copula,0,C2,20,SYNTHETIC,SYNTHETIC,True,60,The correlation numbers,2026-05-30T23:59:59.601027
TK,20260530_235739,census,gaussian_copula,1,C1,20,REAL,REAL,True,50,,2026-05-31T00:00:07.931111
TK,20260530_235739,census,gaussian_copula,1,C2,20,REAL,REAL,True,65,,2026-05-31T00:00:07.931141
TK,20260530_235739,census,gaussian_copula,2,C1,20,REAL,REAL,True,50,,2026-05-31T00:00:17.448228
TK,20260530_235739,census,gaussian_copula,2,C2,20,REAL,REAL,True,67,,2026-05-31T00:00:17.448261
TK,20260530_235739,census,gaussian_copula,3,C1,20,SYNTHETIC,SYNTHETIC,True,50,,2026-05-31T00:00:26.448548
TK,20260530_235739,census,gaussian_copula,3,C2,20,SYNTHETIC,SYNTHETIC,True,65,,2026-05-31T00:00:26.448579
TK,20260530_235739,census,gaussian_copula,4,C1,20,REAL,SYNTHETIC,False,50,,2026-05-31T00:00:34.715003
TK,20260530_235739,census,gaussian_copula,4,C2,20,REAL,REAL,True,71,,2026-05-31T00:00:34.715039
TK,20260530_235739,census,gaussian_copula,5,C1,20,REAL,SYNTHETIC,False,50,,2026-05-31T00:00:53.840208
TK,20260530_235739,census,gaussian_copula,5,C2,20,REAL,REAL,True,50,The correlation value of 0.4945,2026-05-31T00:00:53.840242
TK,20260530_235739,census,gaussian_copula,6,C1,20,REAL,REAL,True,50,,2026-05-31T00:01:04.847475
TK,20260530_235739,census,gaussian_copula,6,C2,20,REAL,REAL,True,67,,2026-05-31T00:01:04.847506
TK,20260530_235739,census,gaussian_copula,7,C1,20,REAL,SYNTHETIC,False,50,,2026-05-31T00:01:13.729485
TK,20260530_235739,census,gaussian_copula,7,C2,20,REAL,REAL,True,57,,2026-05-31T00:01:13.729518
TK,20260530_235739,census,gaussian_copula,8,C1,20,SYNTHETIC,SYNTHETIC,True,50,,2026-05-31T00:02:10.339003
TK,20260530_235739,census,gaussian_copula,8,C2,20,SYNTHETIC,SYNTHETIC,True,67,,2026-05-31T00:02:10.339034
TK,20260530_235739,census,gaussian_copula,9,C1,20,SYNTHETIC,REAL,False,50,,2026-05-31T00:02:19.386400
TK,20260530_235739,census,gaussian_copula,9,C2,20,SYNTHETIC,SYNTHETIC,True,62,,2026-05-31T00:02:19.386431
